Файл: 1-4_kursy_s_21_09-26_09_2026.pdf
Всего слов: 373
Размер страницы: 595.5 x 841.9

     x0      x1     top     bot | text
--------------------------------------------------------------------------------
   22.1    31.9    17.9    22.9 | Дни
   57.9    71.6    17.7    22.7 | Часы
  304.1   313.8    17.7    22.7 | Дни
  339.6   353.3    17.7    22.7 | Часы
  154.6   186.8    20.4    30.4 | РУПО
  193.5   203.2    20.4    30.4 | 11
  272.4   287.5    20.4    28.4 | Ауд.
  436.3   468.5    20.4    30.4 | РУПО
  475.4   485.9    20.4    30.4 | 12
  553.0   569.8    20.6    28.6 | Ауд.
   18.5    35.9    26.6    31.6 | Недели
   53.5    76.1    26.6    31.6 | Занятий
  300.2   317.9    26.6    31.6 | Недели
  335.3   358.0    26.6    31.6 | Занятий
  434.4   466.5    34.0    42.0 | Русский
  469.4   487.7    34.0    42.0 | язык
   46.8    71.8    39.8    44.8 | 8:30-9:30
   83.8    87.8    38.1    46.1 | 1
  328.6   353.7    39.8    44.8 | 8:30-9:30
  365.5   369.5    38.1    46.1 | 1
  557.3   565.6    38.4    46.4 | 84
  432.0   469.5    42.9    50.9 | Ватолина
  472.8   489.6    42.9    50.9 | О.А.
  419.3   465.7    51.8    59.8 | Физическая
  468.9   503.3    51.8    59.8 | культура
  552.7   569.7    53.2    58.2 | Спорт
   43.5    75.5    57.5    62.5 | 10:00-11:00
   83.5    87.5    55.9    63.9 | 2
  325.4   357.2    57.5    62.5 | 10:00-11:00
  365.3   369.3    55.9    63.9 | 2
  429.6   472.7    60.7    68.7 | Демченков
  475.7   492.2    60.7    68.7 | В.А.
  556.8   565.1    62.1    67.1 | зал
  437.1   485.2    69.6    77.6 | Математика
   22.9    31.9    70.9    93.3 | 90.12
  304.7   313.7    70.9    93.3 | 90.12
   43.5    75.5    75.3    80.3 | 11:10-12:10
   83.5    87.5    73.6    81.6 | 3
  325.4   357.2    75.3    80.3 | 11:10-12:10
  365.3   369.3    73.6    81.6 | 3
  557.3   565.6    73.9    81.9 | 84
  431.5   470.3    78.4    86.4 | Макарова
  473.1   490.1    78.4    86.4 | Н.П.
   43.5    75.3    93.0    98.0 | 12:10-12:55
  325.4   357.1    93.0    98.0 | 12:10-12:55
   22.9    31.9    96.5   155.2 | киньледеноП
  304.7   313.7    96.5   155.2 | киньледеноП
   43.5    75.5   110.8   115.8 | 12:55-13:40
  325.4   357.2   110.8   115.8 | 12:55-13:40
  152.7   184.8   122.8   130.8 | Русский
  187.7   205.7   122.8   130.8 | язык
   83.3    87.3   126.9   134.9 | 4
  275.3   283.7   127.2   135.2 | 74
  365.1   369.1   126.9   134.9 | 4
   43.5    75.5   128.6   133.6 | 13:40-14:40
  325.4   357.2   128.6   133.6 | 13:40-14:40
  150.2   187.8   131.7   139.7 | Ватолина
  190.8   207.7   131.7   139.7 | О.А.
  155.3   203.2   140.6   148.6 | Математика
   83.5    87.5   144.7   152.7 | 5
  275.5   283.8   144.9   152.9 | 84
  365.3   369.3   144.7   152.7 | 5
   43.5    75.5   146.3   151.3 | 15:10-16:10
  325.4   357.2   146.3   151.3 | 15:10-16:10
  149.8   188.3   149.5   157.5 | Макарова
  191.3   208.3   149.5   157.5 | Н.П.
  137.5   183.9   158.4   166.4 | Физическая
  187.2   221.5   158.4   166.4 | культура
  270.7   287.9   159.8   164.8 | Спорт
   83.5    87.5   162.4   170.4 | 6
  365.3   369.3   162.4   170.4 | 6
   43.5    75.5   164.1   169.1 | 16:20-17:20
  325.4   357.2   164.1   169.1 | 16:20-17:20
  147.8   190.7   167.2   175.2 | Демченков
  193.9   210.4   167.2   175.2 | В.А.
  275.1   283.4   168.6   173.6 | зал
  161.1   197.4   176.1   184.1 | Биология
   83.5    87.5   180.2   188.2 | 7
  275.5   283.8   180.4   188.4 | 84
  365.3   369.3   180.2   188.2 | 7
   43.5    75.5   181.8   186.8 | 17:30-18:30
  325.4   357.2   181.8   186.8 | 17:30-18:30
  150.5   187.8   185.0   193.0 | Худякова
  190.5   207.6   185.0   193.0 | Н.А.
   83.8    87.8   198.0   206.0 | 1
  365.5   369.5   198.0   206.0 | 1
   45.1    73.8   199.6   204.6 | 8:30-10:00
  326.9   355.5   199.6   204.6 | 8:30-10:00
   43.5    75.5   217.4   222.4 | 10:30-12:00
   83.5    87.5   215.7   223.7 | 2
  325.4   357.2   217.4   222.4 | 10:30-12:00
  365.3   369.3   215.7   223.7 | 2
   22.9    31.9   223.3   245.9 | 90.22
  304.7   313.7   223.3   245.9 | 90.22
  152.2   206.3   229.4   237.4 | Информатика
  434.4   466.5   229.4   237.4 | Русский
  469.4   487.7   229.4   237.4 | язык
   43.5    75.5   235.1   240.1 | 12:10-13:40
   83.5    87.5   233.5   241.5 | 3
  276.0   283.8   233.7   241.7 | 13
  325.4   357.2   235.1   240.1 | 12:10-13:40
  365.3   369.3   233.5   241.5 | 3
  557.3   565.6   233.7   241.7 | 89
  148.8   190.1   238.3   246.3 | Тетенькин
  193.2   209.6   238.3   246.3 | Д.А.
  432.0   469.5   238.3   246.3 | Ватолина
  472.8   489.6   238.3   246.3 | О.А.
  155.3   203.2   247.2   255.2 | Математика
  438.5   483.7   247.2   255.2 | Литература
   22.9    31.9   248.9   286.8 | кинротВ
  304.7   313.7   248.9   286.8 | кинротВ
   43.5    75.5   252.9   257.9 | 13:50-15:20
   83.3    87.3   251.2   259.2 | 4
  275.5   283.8   251.5   259.5 | 84
  325.4   357.2   252.9   257.9 | 13:50-15:20
  365.1   369.1   251.2   259.2 | 4
  557.3   565.6   251.5   259.5 | 89
  149.8   188.3   256.0   264.0 | Макарова
  191.3   208.3   256.0   264.0 | Н.П.
  421.7   481.1   256.0   264.0 | Перевозчикова
  484.1   500.2   256.0   264.0 | Е.Н.
  137.1   148.2   264.9   272.9 | ОБ
  151.5   155.7   264.9   272.9 | и
  158.7   188.4   264.9   272.9 | защиты
  191.5   221.6   264.9   272.9 | Родины
  427.9   494.3   264.9   272.9 | Обществознание
   43.5    75.5   270.6   275.6 | 15:50-17:20
   83.5    87.5   269.0   277.0 | 5
  277.7   281.7   269.2   277.2 | 2
  325.4   357.2   270.6   275.6 | 15:50-17:20
  365.3   369.3   269.0   277.0 | 5
  557.3   565.6   269.2   277.2 | 89
  145.2   194.1   273.8   281.8 | Деветьярова
  197.0   213.1   273.8   281.8 | Е.А.
  431.7   470.3   273.8   281.8 | Семакина
  473.3   490.3   273.8   281.8 | Н.А.
  164.9   193.9   282.7   290.7 | Физика
  437.1   485.2   282.7   290.7 | Математика
   43.5    75.5   288.4   293.4 | 17:30-19:00
   83.5    87.5   286.8   294.8 | 6
  275.5   283.8   287.0   295.0 | 90
  325.4   357.2   288.4   293.4 | 17:30-19:00
  365.3   369.3   286.8   294.8 | 6
  557.3   565.6   287.0   295.0 | 84
  149.1   189.3   291.6   299.6 | Дектерева
  192.3   209.1   291.6   299.6 | О.А.
  431.5   470.3   291.6   299.6 | Макарова
  473.1   490.1   291.6   299.6 | Н.П.
   43.5    75.5   306.2   311.2 | 19:10-20:40
   83.5    87.5   304.5   312.5 | 7
  325.4   357.2   306.2   311.2 | 19:10-20:40
  365.3   369.3   304.5   312.5 | 7
  156.7   201.7   318.2   326.2 | Литература
   83.8    87.8   322.3   330.3 | 1
  365.5   369.5   322.3   330.3 | 1
   45.1    73.8   323.9   328.9 | 8:30-10:00
  275.5   283.8   322.5   330.5 | 89
  326.9   355.5   323.9   328.9 | 8:30-10:00
  139.9   199.3   327.1   335.1 | Перевозчикова
  202.1   218.1   327.1   335.1 | Е.Н.
  161.1   197.4   336.0   344.0 | Биология
   83.5    87.5   340.0   348.0 | 2
  275.5   283.8   340.3   348.3 | 89
  365.3   369.3   340.0   348.0 | 2
   43.5    75.5   341.7   346.7 | 10:30-12:00
  325.4   357.2   341.7   346.7 | 10:30-12:00
  150.5   187.8   344.8   352.8 | Худякова
  190.5   207.6   344.8   352.8 | Н.А.
   23.2    32.2   353.4   375.8 | 90.32
  164.9   193.9   353.7   361.7 | Физика
  304.9   313.9   353.4   375.8 | 90.32
  444.7   477.5   353.7   361.7 | История
   83.5    87.5   357.8   365.8 | 3
  275.5   283.8   358.0   366.0 | 90
  365.3   369.3   357.8   365.8 | 3
  557.3   565.6   358.0   366.0 | 84
   43.5    75.5   359.4   364.4 | 12:10-13:40
  325.4   357.2   359.4   364.4 | 12:10-13:40
  149.1   189.3   362.6   370.6 | Дектерева
  192.3   209.1   362.6   370.6 | О.А.
  435.3   468.2   362.6   370.6 | Окулова
  470.9   486.5   362.6   370.6 | Е.С.
  152.7   184.8   371.5   379.5 | Русский
  187.7   205.7   371.5   379.5 | язык
  446.6   475.8   371.5   379.5 | Физика
   83.3    87.3   375.6   383.6 | 4
  275.5   283.8   375.8   383.8 | 89
  365.1   369.1   375.6   383.6 | 4
  557.3   565.6   375.8   383.8 | 90
   23.2    32.2   379.0   405.1 | адерС
   43.5    75.5   377.2   382.2 | 13:50-15:20
  304.9   313.9   379.0   405.1 | адерС
  325.4   357.2   377.2   382.2 | 13:50-15:20
  150.2   187.8   380.4   388.4 | Ватолина
  190.8   207.7   380.4   388.4 | О.А.
